Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish);Photo ID
BA;Räisälä 27;Räisälä;Hovi Kalmistomäki;KM;6675;1-73;6760340;3650368;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;FALSE;FALSE;nähty HY arla (47);KM 6675_1-73
BA;Räisälä 27;Räisälä;Hovi Kalmistomäki;KM;6675;1-73;6760340;3650368;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;;;FALSE;FALSE;FALSE;nähty HY arla (34, 68);KM 6675_1-73
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6679;5-20;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;TRUE;FALSE;FALSE;;KM 6679_5-20
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6691;1-6;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 6691_1-6
BA;Kaukola 17;Kaukola;Nököpelto;KM;6907;21-25;6779916;3647549;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 6907_21-25
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6940;34-67;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;orgaaninen;TRUE;FALSE;FALSE;;KM 6940_34-67
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7117;2-6;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;TRUE;FALSE;FALSE;;KM 7117_2-6
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7117;23-30;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 7117_23-30
BA;Kaukola 17;Kaukola;Nököpelto;KM;7285;1-26;6779916;3647549;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 7285_1-26
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7357;2-4;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;TRUE;FALSE;FALSE;;KM 7357_2-4
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7357;5-9;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;TRUE;FALSE;FALSE;;KM 7357_5-9
BA;Kaukola 17;Kaukola;Nököpelto;KM;7450;43-53;6779916;3647549;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 7450_43-53
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7526;1-16;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;;KM 7526_1-16
BA;595010001;Pielavesi;Virranniska;KM;7618;1-190;7011000;3484020;105;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Sirnihta Ware;Sirnihta;2;asbesti;;TRUE;FALSE;TRUE;;KM 7618_1-190
BA;595010001;Pielavesi;Virranniska;KM;7618;1-190;7011000;3484020;105;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;sarvivälke;kivimurska;FALSE;FALSE;TRUE;;KM 7618_1-190
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7619;18-21;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;TRUE;FALSE;FALSE;;KM 7619_18-21
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7619;18-21;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;2;asbesti;;TRUE;FALSE;FALSE;karsta (21);KM 7619_18-21
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7619;15-17;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Pottery;Lovozero Ware;Lovozero Ware;Lovozero;1;asbesti;;TRUE;FALSE;FALSE;;KM 7619_15-17
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7619;18-21;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;;KM 7619_18-21
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7620;1-145;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;FALSE;FALSE;TRUE;;KM 7620_1-145
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7620;1-145;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;1;asbesti;;FALSE;TRUE;FALSE;karsta (55);KM 7620_1-145
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7620;1-145;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Pottery;Lovozero Ware;Lovozero Ware;Lovozero;1;asbesti;;TRUE;FALSE;FALSE;;KM 7620_1-145
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7620;1-145;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;;KM 7620_1-145
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7650;3-27;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;FALSE;TRUE;FALSE;;KM 7650_3-27
BA;785010007;Vaala;Nimisjärvi Raappana;KM;7683;1;7158060;3489560;125;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;talkki;;TRUE;FALSE;FALSE;;KM 7683_1
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7683;19-23;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;TRUE;FALSE;FALSE;;KM 7683_19-23
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;7683;2-13;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;FALSE;TRUE;FALSE;;KM 7683_2-13
BA;785010010;Vaala;Nimisjärvi Niemelänniemi;KM;7683;14-18;7158160;3490120;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;;KM 7683_14-18
BA;211010004;Kangasala;Pohtiolampi ja Tiilitehdas;KM;7757;1-61;6819197;3346749;88;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;kiille, orgaaninen;FALSE;FALSE;TRUE;karsta (47);KM 7757_1-61
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7815;6-12;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;FALSE;TRUE;FALSE;;KM 7815_6-12
BA;211010004;Kangasala;Pohtiolampi ja Tiilitehdas;KM;7964;1-169;6819197;3346749;88;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;orgaaninen;FALSE;FALSE;TRUE;;KM 7964_1-169
BA;853010019;Turku;Maaria Kärsämäki;KM;8068;1-154, 157-167;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;FALSE;TRUE;;KM 8068_1-154, 157-167
BA;Kaukola 17;Kaukola;Nököpelto;KM;8199;9-19;6779916;3647549;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;hiekka;;TRUE;FALSE;FALSE;;KM 8199_9-19
BA;Kaukola 15;Kaukola;Kankaanmäki;KM;8341;4-18;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;TRUE;FALSE;FALSE;karsta (18);KM 8341_4-18
BA;785010014;Vaala;Nimisjärvi Puhakka;KM;8645;1-26;7159660;3488960;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;TRUE;FALSE;FALSE;;KM 8645_1-26
BA;577010024;Paimio;Toispuolojannummi;KM;8696;4-6;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;TRUE;FALSE;FALSE;;KM 8696_4-6
BA;853010019;Turku;Maaria Kärsämäki;KM;8772;1-36;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;TRUE;FALSE;FALSE;;KM 8772_1-36
BA;853010019;Turku;Maaria Kärsämäki;KM;8773;1-916;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Lausitz Ware;maljatyyppi;1;hiekka;;FALSE;FALSE;TRUE;;KM 8773_1-916
BA;853010019;Turku;Maaria Kärsämäki;KM;8773;1-916;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;FALSE;TRUE;kiillotettu (581), karsta (873);KM 8773_1-916
BA;49010037;Espoo;Putkars;KM;8822;15;6682379;3362988;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;TRUE;FALSE;;KM 8822_15
BA;Kurkijoki 52;Kurkijoki;Kuuppala Kalmistomäki Räkköläinen;KM;8885;1-72;6801173;3656025;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;;TRUE;FALSE;FALSE;;KM 8885_1-72
BA;577010024;Paimio;Toispuolojannummi;KM;8955;1-269;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Lausitz Ware;maljatyyppi;2;hiekka;;TRUE;FALSE;FALSE;258;KM 8955_1-269
BA;577010024;Paimio;Toispuolojannummi;KM;8955;1-269;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;kivimurska;;FALSE;FALSE;TRUE;;KM 8955_1-269
BA;785010014;Vaala;Nimisjärvi Puhakka;KM;9364;1-9;7159660;3488960;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;TRUE;FALSE;FALSE;;KM 9364_1-9
BA;577010024;Paimio;Toispuolojannummi;KM;9390;1-266;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Lausitz Ware;maljatyyppi;2;kivimurska;;FALSE;TRUE;FALSE;tasapohja (52);KM 9390_1-266
BA;577010024;Paimio;Toispuolojannummi;KM;9390;1-266;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;kivimurska;;FALSE;FALSE;TRUE;tasapohja (26);KM 9390_1-266
BA;577010024;Paimio;Toispuolojannummi;KM;9390;1-266;6716468;3263603;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;kvartsi- ja maasälpärouhe;;TRUE;FALSE;FALSE;;KM 9390_1-266
BA;Johannes 17;Johannes;Väntsi;KM;9564;1-20;6714200;3598592;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;talkki;;TRUE;FALSE;FALSE;;KM 9564_1-20
BA;211010006;Kangasala;Sepänjärvi 1;KM;9604;1-95;6819282;3346633;90;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;kiille, shamotti;FALSE;FALSE;TRUE;;KM 9604_1-95
BA;577010026;Paimio;Alastalo-Keskitalo;KM;9971;1-2;6716294;3263024;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;TRUE;FALSE;FALSE;;KM 9971_1-2
BA;912010022;Sastamala;Haapakallio;KM;10401;1-8;6811222;3282245;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 10401_1-8
BA;586010024;Salo;Varemäki;KM;10579;;6687559;3292674;50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Coastal Bronze Age pottery;pronssikautinen;1;hiekka;;TRUE;FALSE;TRUE;;KM 10579_
BA;602010030;Kaarina;Rungon Koskenhaka;KM;10605;1-162;6710115;3251097;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;;;FALSE;FALSE;FALSE;nähty HY arla (125);KM 10605_1-162
BA;541010001;Nurmes;Suomalanniemi;KM;10641;1-17;7039868;3619989;95;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;luu;hiekka;TRUE;FALSE;FALSE;kuonaantunut (7);KM 10641_1-17
BA;Kurkijoki 52;Kurkijoki;Kuuppala Kalmistomäki Räkköläinen;KM;10670;1-189;6801173;3656025;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;FALSE;TRUE;FALSE;;KM 10670_1-189
BA;Kurkijoki 52;Kurkijoki;Kuuppala Kalmistomäki Räkköläinen;KM;10872;1-118;6801173;3656025;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 10872_1-118
BA;165010008;Janakkala;Irjala;KM;11062;1-283;6751902;3363256;84;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;shamotti;;TRUE;FALSE;FALSE;;KM 11062_1-283
BA;uusi 3186;Raahe;Alpua;KM;11239;;7148304;3414513;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;TRUE;FALSE;FALSE;karsta;KM 11239_
BA;uusi 3275;Solomanni;Viheriätie;KM;11369;1-89;6882744;3884554;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;;KM 11369_1-89
BA;uusi 3275;Solomanni;Viheriätie;KM;11369;1-89;6882744;3884554;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;FALSE;FALSE;FALSE;;KM 11369_1-89
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11506;1-39;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;TRUE;FALSE;karsta (17,18);KM 11506_1-39
BA;220010054;Raasepori;Råckers;KM;11561;;6666558;3315134;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;3;kvartsi- ja maasälpärouhe;;TRUE;TRUE;FALSE;;KM 11561_
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11594;1-400;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Lausitz Ware;maljatyyppi;1;hiekka;;FALSE;TRUE;FALSE;reunapala (49,292,298,299,305,319), karsta (298);KM 11594_1-400
BA;1000032998;Mynämäki                                                                                            ;Nihattula                                                                                           ;KM;11909;1-2;6740644;3226546;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;hiekka;;TRUE;FALSE;FALSE;;KM 11909_1-2
BA;738010004;Sauvo;Pellonpää 1;KM;12333;4;6694360;3261413;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Coastal Bronze Age pottery;pronssikautinen;2;kivimurska;;TRUE;FALSE;TRUE;;KM 12333_4
BA;613010040;Porvoo;Böle;KM;12359;1-160;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;;KM 12359_1-160
BA;613010040;Porvoo;Böle;KM;12359;1-160;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;orgaaninen;;TRUE;FALSE;FALSE;tekstiilipainanne;KM 12359_1-160
BA;853010019;Turku;Maaria Kärsämäki;KM;12882;1-447;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;FALSE;TRUE;karsta (382);KM 12882_1-447
